DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
11/1/17,0:36,,,40.650208,-73.959984,"(40.650208, -73.959984)",EAST 21 STREET                  ,,,0,0,0,0,0,0,0,0,View Obstructed/Limited,,,,,3781068,SPORT UTILITY / STATION WAGON,,,,
11/1/17,0:40,,,40.53465,-74.19386,"(40.53465, -74.19386)",,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3782422,SPORT UTILITY / STATION WAGON,,,,
11/1/17,10:00,BRONX,10464,40.84514,-73.78571,"(40.84514, -73.78571)",CITY ISLAND AVENUE              ,SCHOFIELD STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3781628,PASSENGER VEHICLE,,,,
11/1/17,10:00,BROOKLYN,11225,40.660004,-73.95251,"(40.660004, -73.95251)",,,241       MIDWOOD STREET                ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Alcohol Involvement,,,,3781238,GG,PASSENGER VEHICLE,,,
11/1/17,10:00,MANHATTAN,10002,40.72163,-73.99353,"(40.72163, -73.99353)",BOWERY                          ,RIVINGTON STREET,,0,0,0,0,0,0,0,0,Failure to Yield Right-of-Way,Unspecified,,,,3781664,SPORT UTILITY / STATION WAGON,TK,,,
11/1/17,10:00,MANHATTAN,10003,40.736633,-73.989235,"(40.736633, -73.989235)",,,200       PARK AVENUE SOUTH             ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3781290,TAXI,TAXI,,,
11/1/17,10:00,QUEENS,11417,40.678036,-73.844124,"(40.678036, -73.844124)",CROSS BAY BOULEVARD             ,108 AVENUE,,0,0,0,0,0,0,0,0,Unsafe Lane Changing,Unspecified,,,,3781412,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/1/17,10:00,,,40.665142,-73.99669,"(40.665142, -73.99669)",19 STREET                       ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,,,,3781200,DS,SPORT UTILITY / STATION WAGON,,,
11/1/17,10:01,QUEENS,11101,40.746204,-73.93234,"(40.746204, -73.93234)",,,43-34     32 PLACE                      ,0,0,0,0,0,0,0,0,Driverless/Runaway Vehicle,,,,,3781237,SPORT UTILITY / STATION WAGON,,,,
11/1/17,10:02,STATEN ISLAND,10304,40.6052,-74.0852,"(40.6052, -74.0852)",CLOVE ROAD                      ,ELBE AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3781447,SPORT UTILITY / STATION WAGON,,,,
11/1/17,10:07,STATEN ISLAND,10305,,,,WOODLAWN AVENUE                 ,WINFIELD AVENUE,,0,0,0,0,0,0,0,0,Turning Improperly,Unspecified,,,,3781444,DS,DS,,,
11/1/17,10:12,QUEENS,11419,40.691643,-73.81089,"(40.691643, -73.81089)",,,103-36    VANWYCK EXPRESSWAY            ,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,Unspecified,,,3781160,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/1/17,10:15,MANHATTAN,10001,40.75219,-73.99347,"(40.75219, -73.99347)",8 AVENUE                        ,WEST 34 STREET,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3781679,TK,TAXI,,,
11/1/17,10:15,,,40.716194,-73.996086,"(40.716194, -73.996086)",CANAL STREET                    ,BOWERY,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inattention/Distraction,,,,3781669,PICK-UP TRUCK,PASSENGER VEHICLE,,,
11/1/17,10:15,,,40.75112,-73.97127,"(40.75112, -73.97127)",EAST 44 STREET                  ,,,0,0,0,0,0,0,0,0,Backing Unsafely,Unspecified,Unspecified,,,3781388,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,
11/1/17,10:19,QUEENS,11360,40.774006,-73.7885,"(40.774006, -73.7885)",27 AVENUE                       ,203 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,Passing or Lane Usage Improper,,,,3781437,SPORT UTILITY / STATION WAGON,TK,,,
11/1/17,10:20,QUEENS,11420,40.66613,-73.82615,"(40.66613, -73.82615)",115 STREET                      ,NORTH CONDUIT AVENUE,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Driver Inexperience,,,,3781194,PASSENGER VEHICLE,TAXI,,,
